Date,Consommation (MW),ds,y
2017-07-15,40896.0625,2017-07-15,40896.0625
2017-07-16,39507.770833333336,2017-07-16,39507.770833333336
2017-07-17,47762.354166666664,2017-07-17,47762.354166666664
2017-07-18,49683.541666666664,2017-07-18,49683.541666666664
2017-07-19,49571.166666666664,2017-07-19,49571.166666666664
2017-07-20,48349.354166666664,2017-07-20,48349.354166666664
2017-07-21,47309.9375,2017-07-21,47309.9375
2017-07-22,41986.625,2017-07-22,41986.625
2017-07-23,39098.020833333336,2017-07-23,39098.020833333336
2017-07-24,45734.833333333336,2017-07-24,45734.833333333336
2017-07-25,46730.416666666664,2017-07-25,46730.416666666664
2017-07-26,47022.229166666664,2017-07-26,47022.229166666664
2017-07-27,46973.166666666664,2017-07-27,46973.166666666664
2017-07-28,46021.3125,2017-07-28,46021.3125
2017-07-29,41239.708333333336,2017-07-29,41239.708333333336
2017-07-30,38482.833333333336,2017-07-30,38482.833333333336
2017-07-31,43949.666666666664,2017-07-31,43949.666666666664
2017-08-01,45066.416666666664,2017-08-01,45066.416666666664
2017-08-02,45544.916666666664,2017-08-02,45544.916666666664
2017-08-03,45861.1875,2017-08-03,45861.1875
2017-08-04,45368.4375,2017-08-04,45368.4375
2017-08-05,40827.854166666664,2017-08-05,40827.854166666664
2017-08-06,37499.4375,2017-08-06,37499.4375
2017-08-07,42030.625,2017-08-07,42030.625
2017-08-08,42240.520833333336,2017-08-08,42240.520833333336
2017-08-09,41799.895833333336,2017-08-09,41799.895833333336
2017-08-10,41767.604166666664,2017-08-10,41767.604166666664
2017-08-11,41566.645833333336,2017-08-11,41566.645833333336
2017-08-12,38412.625,2017-08-12,38412.625
2017-08-13,36312.208333333336,2017-08-13,36312.208333333336
2017-08-14,39930.3125,2017-08-14,39930.3125
2017-08-15,38094.75,2017-08-15,38094.75
2017-08-16,41943.25,2017-08-16,41943.25
2017-08-17,43096.708333333336,2017-08-17,43096.708333333336
2017-08-18,43264.541666666664,2017-08-18,43264.541666666664
2017-08-19,39416.708333333336,2017-08-19,39416.708333333336
2017-08-20,37201.0,2017-08-20,37201.0
2017-08-21,43541.520833333336,2017-08-21,43541.520833333336
2017-08-22,45326.229166666664,2017-08-22,45326.229166666664
2017-08-23,45768.395833333336,2017-08-23,45768.395833333336
2017-08-24,46179.708333333336,2017-08-24,46179.708333333336
2017-08-25,46146.145833333336,2017-08-25,46146.145833333336
2017-08-26,41786.479166666664,2017-08-26,41786.479166666664
2017-08-27,39266.291666666664,2017-08-27,39266.291666666664
2017-08-28,47152.166666666664,2017-08-28,47152.166666666664
2017-08-29,48848.166666666664,2017-08-29,48848.166666666664
2017-08-30,48650.458333333336,2017-08-30,48650.458333333336
2017-08-31,47211.520833333336,2017-08-31,47211.520833333336
2017-09-01,46305.729166666664,2017-09-01,46305.729166666664
2017-09-02,41172.208333333336,2017-09-02,41172.208333333336
2017-09-03,39031.9375,2017-09-03,39031.9375
2017-09-04,46199.604166666664,2017-09-04,46199.604166666664
2017-09-05,47632.416666666664,2017-09-05,47632.416666666664
2017-09-06,47641.208333333336,2017-09-06,47641.208333333336
2017-09-07,47539.583333333336,2017-09-07,47539.583333333336
2017-09-08,47422.958333333336,2017-09-08,47422.958333333336
2017-09-09,41860.9375,2017-09-09,41860.9375
2017-09-10,39392.145833333336,2017-09-10,39392.145833333336
2017-09-11,46831.958333333336,2017-09-11,46831.958333333336
2017-09-12,47584.5625,2017-09-12,47584.5625
2017-09-13,48991.6875,2017-09-13,48991.6875
2017-09-14,49000.354166666664,2017-09-14,49000.354166666664
2017-09-15,48648.916666666664,2017-09-15,48648.916666666664
2017-09-16,43856.395833333336,2017-09-16,43856.395833333336
2017-09-17,42126.416666666664,2017-09-17,42126.416666666664
2017-09-18,49631.145833333336,2017-09-18,49631.145833333336
2017-09-19,50910.375,2017-09-19,50910.375
2017-09-20,50985.666666666664,2017-09-20,50985.666666666664
2017-09-21,50070.9375,2017-09-21,50070.9375
