,Date,Consommation_MW,Production_MW,Production_verte_MW,Differentiel_MW,Thermique_MW,Nucléaire_MW,Eolien_MW,Solaire_MW,Hydraulique_MW,Pompage_MW,Bioénergies_MW,Ech_physiques_MW,Stockage_batterie_MW,Déstockage_batterie_MW,mois,jour,date,temperature
243,2021-10-30,47370.958333333336,55648.0625,12215.583333333334,8277.104166666666,1512.2291666666667,41920.25,6885.916666666667,603.4166666666666,3535.0416666666665,-1158.2083333333333,1191.2083333333333,450.8125,-7103.125,37.34645833333333,10,30,2021-10-30,13.902291666666663
244,2021-10-31,44514.625,53550.208333333336,14111.604166666666,9035.583333333334,1152.4166666666667,38286.1875,9087.5,938.375,2902.7916666666665,-2078.5,1182.9375,417.75,-6950.375,28.520416666666666,10,31,2021-10-31,14.646979166666668
245,2021-11-01,46753.083333333336,55588.979166666664,14274.479166666666,8835.895833333334,2628.7083333333335,38685.791666666664,7681.354166666667,1144.5208333333333,4267.166666666667,-1614.4166666666667,1181.4375,421.0833333333333,-7221.4375,64.481875,11,1,2021-11-01,12.118020833333334
246,2021-11-02,54789.395833333336,60825.854166666664,11724.375,6036.458333333333,7198.104166666667,41903.375,3504.2083333333335,1022.0208333333334,6083.791666666667,-677.1041666666666,1114.3541666666667,452.4583333333333,-5358.604166666667,148.23270833333333,11,2,2021-11-02,10.3296875
247,2021-11-03,57528.6875,61886.333333333336,11346.1875,4357.645833333333,8555.208333333334,41984.9375,3149.9791666666665,900.8333333333334,6198.25,-692.2708333333334,1097.125,445.7291666666667,-3664.8125,174.60729166666667,11,3,2021-11-03,9.0646875
248,2021-11-04,60109.333333333336,61457.729166666664,11048.229166666666,1348.3958333333333,7997.458333333333,42412.041666666664,3206.4166666666665,1124.4791666666667,5619.125,-620.25,1098.2083333333333,450.4583333333333,-726.5625,156.15291666666667,11,4,2021-11-04,7.618854166666668
249,2021-11-05,60260.145833333336,60319.895833333336,11090.125,59.75,7862.979166666667,41366.791666666664,2354.9583333333335,1184.2708333333333,6415.958333333333,-578.875,1134.9375,442.125,520.7083333333334,153.28708333333333,11,5,2021-11-05,8.138020833333336
250,2021-11-06,56824.645833333336,56554.708333333336,10490.333333333334,-269.9375,6543.0,39521.375,3321.8125,1482.4583333333333,4515.625,-1122.8541666666667,1170.4375,427.2083333333333,1393.7083333333333,137.19104166666668,11,6,2021-11-06,6.747083333333329
251,2021-11-07,53738.25,54372.270833333336,10583.875,634.0208333333334,4353.625,39434.770833333336,4872.104166666667,904.1666666666666,3647.4166666666665,-1882.5,1160.1875,425.25,1248.9791666666667,100.56541666666668,11,7,2021-11-07,8.156875000000001
252,2021-11-08,59847.229166666664,60009.916666666664,10709.395833333334,162.6875,8236.125,41064.395833333336,1944.125,1290.3333333333333,6329.583333333333,-656.4166666666666,1145.3541666666667,439.0416666666667,494.6041666666667,160.64729166666666,11,8,2021-11-08,8.639791666666673
253,2021-11-09,62167.6875,60039.1875,9323.854166666666,-2128.5,8254.770833333334,42460.5625,1453.3125,1422.3958333333333,5278.5,-819.3958333333334,1169.6458333333333,450.2083333333333,2948.5208333333335,160.53375,11,9,2021-11-09,7.2011458333333325
254,2021-11-10,63587.041666666664,62697.645833333336,9934.229166666666,-889.3958333333334,10214.25,42549.166666666664,690.6666666666666,940.5208333333334,7114.854166666667,-472.1041666666667,1188.1875,451.0,1362.2916666666667,193.326875,11,10,2021-11-10,6.603749999999999
255,2021-11-11,57043.75,59397.4375,8596.5625,2353.6875,9106.4375,41694.4375,760.9375,1147.8125,5477.6875,-393.8958333333333,1210.125,443.7083333333333,-1958.5416666666667,194.07979166666667,11,11,2021-11-11,8.063229166666666
256,2021-11-12,59311.25,59729.833333333336,8850.354166666666,418.5833333333333,8715.833333333334,42163.645833333336,2862.4375,1014.0416666666666,3782.4375,-812.8333333333334,1191.4375,448.1875,395.4166666666667,177.2122916666667,11,12,2021-11-12,8.345104166666664
257,2021-11-13,53766.895833333336,58357.770833333336,9296.479166666666,4590.875,7237.625,41823.666666666664,4045.3958333333335,590.75,3479.4166666666665,-1038.7291666666667,1180.9166666666667,441.9375,-3551.3958333333335,164.7875,11,13,2021-11-13,9.848229166666666
258,2021-11-14,51292.916666666664,55602.875,7935.395833333333,4309.958333333333,6405.770833333333,41261.708333333336,3206.5416666666665,585.8125,2975.8333333333335,-1578.2083333333333,1167.2083333333333,430.9375,-2731.1041666666665,156.19333333333333,11,14,2021-11-14,10.541250000000003
259,2021-11-15,60466.020833333336,60663.9375,11610.916666666666,197.91666666666666,7960.6875,41092.333333333336,2842.625,372.1458333333333,7272.479166666667,-800.9375,1123.6666666666667,431.2708333333333,604.25,161.5575,11,15,2021-11-15,8.464375000000002
260,2021-11-16,62513.5625,63736.5,10526.3125,1222.9375,9202.541666666666,44007.645833333336,908.75,510.5416666666667,7991.729166666667,-602.4791666666666,1115.2916666666667,468.0208333333333,-619.5,174.74395833333332,11,16,2021-11-16,8.115000000000002
261,2021-11-17,62405.4375,62297.3125,9973.645833333334,-108.125,8026.541666666667,44297.125,1768.375,553.9166666666666,6502.8125,-571.5833333333334,1148.5416666666667,472.3125,681.0,148.479375,11,17,2021-11-17,8.421354166666662
262,2021-11-18,62738.4375,62367.333333333336,9850.854166666666,-371.1041666666667,8298.875,44217.604166666664,1393.0,1073.4166666666667,6248.708333333333,-460.8958333333333,1135.7291666666667,470.1666666666667,833.7708333333334,151.67520833333333,11,18,2021-11-18,8.437499999999998
263,2021-11-19,62398.25,62793.416666666664,9639.770833333334,395.1666666666667,8855.041666666666,44298.604166666664,1105.3958333333333,1245.9791666666667,6145.895833333333,-823.9375,1142.5,472.4375,430.6666666666667,164.20374999999999,11,19,2021-11-19,7.662708333333331
264,2021-11-20,58163.875,58237.4375,6918.166666666667,73.5625,7894.020833333333,43425.25,729.4791666666666,951.6458333333334,4055.0833333333335,-1199.3333333333333,1181.9583333333333,456.6458333333333,1127.9375,157.41520833333334,11,20,2021-11-20,6.932604166666667
265,2021-11-21,57176.958333333336,56695.395833333336,7148.541666666667,-481.5625,6914.375,42632.479166666664,2332.7916666666665,438.8541666666667,3221.5625,-1591.2291666666667,1155.3333333333333,449.8125,2074.9583333333335,142.07916666666668,11,21,2021-11-21,6.456666666666667
266,2021-11-22,65535.4375,65872.47916666667,15327.645833333334,337.0416666666667,7651.416666666667,42893.416666666664,9308.104166666666,747.7291666666666,4157.333333333333,-1002.7083333333334,1114.4791666666667,452.3541666666667,667.5208333333334,137.26083333333335,11,22,2021-11-22,6.722395833333334
267,2021-11-23,67911.83333333333,67071.5,15322.666666666666,-840.3333333333334,8674.0625,43074.770833333336,7697.583333333333,1064.2083333333333,5462.875,-869.2916666666666,1098.0,455.1041666666667,1710.8541666666667,150.74479166666666,11,23,2021-11-23,5.962291666666665
268,2021-11-24,68533.1875,63236.916666666664,12192.229166666666,-5296.270833333333,9616.8125,41427.875,3212.3958333333335,568.125,7289.875,-603.5208333333334,1121.8333333333333,440.2916666666667,5900.479166666667,165.33479166666666,11,24,2021-11-24,5.433333333333334
269,2021-11-25,69202.72916666667,62648.020833333336,11425.833333333334,-6554.708333333333,9143.5,42078.6875,2559.8333333333335,397.3333333333333,7316.479166666667,-600.6458333333334,1152.1875,446.125,7156.145833333333,154.73125000000002,11,25,2021-11-25,4.916354166666666
270,2021-11-26,69477.22916666667,65418.145833333336,14535.25,-4059.0833333333335,8762.458333333334,42120.4375,6900.333333333333,577.0416666666666,5883.333333333333,-804.375,1174.5416666666667,446.0,4864.4375,151.87145833333332,11,26,2021-11-26,4.750625000000002
271,2021-11-27,65230.9375,61717.6875,12695.270833333334,-3513.25,7125.916666666667,41896.5,7123.708333333333,596.2708333333334,3810.6875,-1137.5208333333333,1164.6041666666667,443.4166666666667,4652.104166666667,130.56458333333333,11,27,2021-11-27,4.401041666666666
